Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,CHN,2.393612459,7.81295779,12.82494547,12.566028,11.78156869,9.750279001,8.782184883,8.118548119,6.807806319,6.739270027,7.640001655,7.555801672,8.401915061,9.352364262,9.45917505,10.74255231,12.09183627,13.63634486,9.093872102,8.857029819,10.10310072,9.027255945,7.33538001,7.237862515,6.75762202,6.3634693,6.160281025,6.161772004,6.115117072,
Cote d'Ivoire,CIV,-4.599496549,-3.499720758,-3.748296893,-3.645999228,-2.592779891,3.622757144,4.310778203,0.551600567,1.842875672,-1.191299427,-4.580540604,-2.245214921,-3.827639325,-3.42246201,-0.857498876,-0.407002578,-0.651437208,-0.444884354,0.271158496,0.916728923,-0.336444149,-6.641118189,8.042352489,6.225706887,6.10311564,6.13206803,5.267910827,4.992709086,4.725692099,
Cameroon,CMR,-8.929583562,-6.644308821,-5.903137892,-10.5414342,-0.70795213,0.66238032,1.591047301,2.490315478,1.810065677,1.608742018,0.874400224,1.649184953,1.505406234,1.808362978,3.944548056,-0.706775436,0.674389717,2.064855524,0.680831686,-0.575806015,0.619379565,1.314427049,1.7265535,2.577710656,3.061836081,2.855766469,1.901024374,0.853486026,1.181905266,
"Congo, Dem. Rep.",COD,-9.665218755,-11.72688166,-13.91774432,-16.77264939,-7.331029036,-2.505009583,-3.757037496,-7.921183301,-3.867579026,-6.500060777,-9.255084665,-4.774091088,-0.03120251,2.387603432,3.433175672,2.808811976,1.984891599,2.849852328,2.783842465,-0.500573021,3.598840323,3.366411993,3.571790138,4.927562522,5.895886035,3.442604598,-0.907723407,0.401471108,2.399910664,
"Congo, Rep.",COG,-1.72438665,-0.376314664,-0.175812696,-3.684348465,-8.094978541,1.097509914,1.360228285,-3.448427755,0.772419705,-5.364719573,4.515335155,0.88258488,1.661059832,-2.043275772,0.424448467,4.415301449,2.764919686,-4.907859458,2.009713885,3.99746567,5.485794479,0.570601587,1.145156182,0.921951607,4.205349659,0.128546659,-5.23741467,-5.559196545,-1.549244028,
Colombia,COL,2.249835748,0.020207322,2.037235835,3.377165555,3.838854013,3.288940887,0.253052838,1.655230808,-1.109272656,-5.764189464,1.287367948,0.096759724,0.950715908,2.393939549,3.850792901,3.302779725,5.412128486,5.537720293,2.049697449,0.085765812,3.256962621,6.327070066,2.970052362,3.621397024,3.676012448,1.761184057,0.708331384,-0.160980396,1.112276195,
Comoros,COM,2.037009748,-8.13597472,5.403723496,0.065415416,-7.94117251,0.751409144,-3.964908131,1.268329697,-1.357116233,-0.670303406,8.08688541,-0.158002157,-0.117108885,-0.300216019,-0.47240465,0.416533343,0.222132637,-1.58712863,1.530002524,0.744011366,1.325682766,1.613333795,0.733574939,2.014724713,-0.304632305,-1.245263663,-0.145354379,0.398322754,0.523712698,
Cabo Verde,CPV,-1.325246962,-1.020906828,7.966790829,5.650664604,15.90423022,11.29132806,8.742838039,8.71991571,10.26565253,9.122800312,12.22010348,0.466980654,3.530098304,2.560349908,8.58327412,5.431257082,6.571033819,13.74275181,5.368075749,-2.452938768,0.234534183,2.676298838,-0.194322593,-0.480116296,-0.654704681,-0.239305248,3.443556299,2.784249088,4.303841247,
Costa Rica,CRI,0.883431622,-0.374019134,6.391158419,4.363631918,1.873117216,1.575382401,-1.182172927,3.107113525,4.573324128,1.761908321,1.816916923,1.651020457,1.607948413,2.674939862,2.827713385,2.40819857,5.759250942,6.713682505,3.277983602,-2.232638559,3.653246237,3.052918159,3.569356339,1.102147306,2.365020868,2.511403189,3.149324392,2.340034914,1.647829063,
Caribbean small states,CSS,0.269038172,0.520637344,1.085257132,2.026785128,1.906313551,1.989326965,2.550449242,2.288252394,2.275104593,3.380059051,3.102509833,1.318967591,2.938885016,5.021901887,3.256414432,3.01552223,6.096842127,2.546626987,0.567891344,-4.205700237,0.767447721,0.410002563,0.603612307,0.500183711,-0.370678122,0.48498636,-2.686147958,-0.330692523,1.03128134,
Cuba,CUB,-3.800433427,-11.33324554,-12.09816239,-15.29568313,0.260145812,1.988682989,7.335591217,2.311685315,-0.285090619,5.748295949,5.517238203,2.831639518,1.108003715,3.519772261,5.571395061,11.09089499,12.0691869,7.358672796,4.24794498,1.544039045,2.398351377,2.703145897,2.827934086,2.514299704,0.831466817,4.273260224,0.422178217,1.746246382,,
Curacao,CUW,,,,,,,,,,,,3.007946104,0.274294411,-1.758682823,-1.505339873,-1.85843957,-0.940961656,0.466171073,0.910345585,-1.176898203,-1.17627,-0.806883669,-0.96426522,-1.912432177,-2.462194793,-1.035883319,-2.030879992,-2.053240546,,
Cayman Islands,CYM,,,,,,,,,,-1.949071787,-3.495735254,-3.136865211,-1.475390699,-0.801980826,-1.775107448,3.561903013,1.551058257,0.123787484,-3.237330853,-9.693163499,-5.033075599,-0.938990272,-0.624585575,-0.366635969,1.109177809,1.373693108,1.703957795,1.717663243,,
Cyprus,CYP,5.13996947,-1.834742998,6.527835089,-1.702627589,3.732201014,6.519358746,-0.352486672,1.196278112,4.817776179,3.829583548,4.844168548,2.838097364,2.541045775,1.383603443,3.630815343,3.353752826,2.981292304,2.88407631,1.07653062,-4.610633401,-1.280429629,-2.125886766,-4.34671215,-5.580070362,-0.219240256,2.544489347,4.332535438,3.501636506,2.745155679,
Czech Republic,CZE,,-11.40250602,-0.608213638,-0.042053101,2.872143517,6.28655463,4.344181048,-0.487479421,-0.234237455,1.536532396,4.559530329,3.296140657,1.848772611,3.632645491,4.874640468,6.386207215,6.564559092,4.988202195,1.834145073,-5.343397791,1.975868189,1.567627263,-0.938553682,-0.516675079,2.607037043,5.102415767,2.253976555,4.075766344,2.65491944,
Germany,DEU,4.351639058,4.345220042,1.151771251,-1.605135305,2.102607232,1.439068158,0.526477107,1.700290726,1.964176139,1.921237294,2.822696604,1.524537695,-0.167987063,-0.764861234,1.191936522,0.763909706,3.817196752,3.39870617,1.274699038,-5.37941105,4.239504345,5.599481428,0.303518386,0.215722046,1.752995962,0.862012076,1.420238939,1.776035789,1.093953753,
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,7.053764516,7.848080491,6.953074161,2.438110723,4.317508206,
